"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Qube Research & Technologies Limited","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,79","2023-04-26"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,96","2023-04-26"
"Marshall Wace LLP","Brenntag SE","DE000A1DAHH0","0,90","2023-04-26"
"Qube Research & Technologies Limited","Software Aktiengesellschaft","DE000A2GS401","0,65","2023-04-26"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,80","2023-04-26"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,86","2023-04-26"
"Tellworth Investments","Jupiter Fund Management","GB00B53P2009","0,27","2023-04-26"
"Citadel Asia Limited","AGC Inc.","JP3112000009","1,03","2023-04-26"
"Marshall Wace LLP","Aroundtown SA","LU1673108939","0,76","2023-04-26"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,06","2023-04-26"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,38","2023-04-26"
"Citadel Advisors LLC","Vail Resorts, Inc.","US91879Q1094","1,62","2023-04-26"
"Millennium Capital Partners LLP","HeidelbergCement AG","DE0006047004","0,49","2023-04-25"
"Qube Research & Technologies Limited","MorphoSys AG","DE0006632003","1,03","2023-04-25"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","1,45","2023-04-25"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","1,00","2023-04-25"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,56","2023-04-25"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,80","2023-04-25"
"Citadel Advisors LLC","HelloFresh SE","DE000A161408","0,65","2023-04-25"
"Millennium Capital Partners LLP","Brenntag SE","DE000A1DAHH0","0,55","2023-04-25"
"Marshall Wace LLP","Vonovia SE","DE000A1ML7J1","0,50","2023-04-25"
"Qube Research & Technologies Limited","Software Aktiengesellschaft","DE000A2GS401","0,56","2023-04-25"
"Marble Bar Asset Management LLP","Nagarro SE","DE000A3H2200","0,62","2023-04-25"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,77","2023-04-25"
"Tellworth Investments","Jupiter Fund Management","GB00B53P2009","0,53","2023-04-25"
"Citadel Advisors LLC","Allegion plc","IE00BFRT3W74","1,41","2023-04-25"
"Citadel Asia Limited","AGC Inc.","JP3112000009","0,99","2023-04-25"
"Citadel Advisors LLC","Vail Resorts, Inc.","US91879Q1094","1,57","2023-04-25"
"Viking Global Investors LP","Fresenius Medical Care AG & Co. KGaA","DE0005785802","0,49","2023-04-24"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,88","2023-04-24"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,59","2023-04-24"
"BlackRock Investment Management (UK) Limited","Nemetschek SE","DE0006452907","0,59","2023-04-24"
"Citadel Advisors LLC","MorphoSys AG","DE0006632003","0,73","2023-04-24"
"Qube Research & Technologies Limited","MorphoSys AG","DE0006632003","0,99","2023-04-24"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","1,38","2023-04-24"
"Citadel Advisors LLC","TAG Immobilien AG","DE0008303504","0,69","2023-04-24"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,60","2023-04-24"
"Citadel Advisors LLC","HelloFresh SE","DE000A161408","0,77","2023-04-24"
"D. E. Shaw & Co., L.P.","Delivery Hero SE","DE000A2E4K43","0,49","2023-04-24"
"JPMorgan Asset Management (UK) Ltd","Software Aktiengesellschaft","DE000A2GS401","0,00","2023-04-24"
"Kairos Investment Management Limited","Nagarro SE","DE000A3H2200","0,49","2023-04-24"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,71","2023-04-24"
"Qube Research & Technologies Limited","LEG Immobilien SE","DE000LEG1110","0,71","2023-04-24"
"LMR Partners LLP","TUI AG","DE000TUAG505","0,00","2023-04-24"
"GLG Partners LP","DOMINO'S PIZZA GROUP PLC","GB00BYN59130","0,49","2023-04-24"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,14","2023-04-24"
"Qube Research & Technologies Limited","Logitech international S.A.","CH0025751329","0,67","2023-04-21"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,49","2023-04-21"
"Caius Capital LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,99","2023-04-21"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,56","2023-04-21"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,40","2023-04-21"
"Arrowstreet Capital, Limited Partnership","HelloFresh SE","DE000A161408","1,01","2023-04-21"
"Citadel Advisors LLC","HelloFresh SE","DE000A161408","0,94","2023-04-21"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","0,89","2023-04-21"
"POINT72 EUROPE (LONDON) LLP","TeamViewer SE","DE000A2YN900","1,03","2023-04-21"
"ExodusPoint Capital Management, LP","TUI AG","DE000TUAG505","0,19","2023-04-21"
"Jane Street Group LLC","TUI AG","DE000TUAG505","0,38","2023-04-21"
"LMR Partners LLP","TUI AG","DE000TUAG505","0,62","2023-04-21"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,19","2023-04-21"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,63","2023-04-21"
"Citadel Advisors LLC","Allegion plc","IE00BFRT3W74","1,39","2023-04-21"
"Citadel Asia Limited","T&D Holdings Inc.","JP3539220008","0,98","2023-04-21"
"Gladstone Capital Management LLP","Aroundtown Properties GmbH","LU1673108939","0,51","2023-04-21"
"Marshall Wace LLP","Aroundtown SA","LU1673108939","0,88","2023-04-21"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,24","2023-04-21"
"Citadel Advisors LLC","Evergy, Inc.","US30034W1062","0,61","2023-04-21"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,42","2023-04-21"
"Millennium Capital Partners LLP","HeidelbergCement AG","DE0006047004","0,58","2023-04-20"
"Systematica Investments Limited","MorphoSys AG","DE0006632003","0,49","2023-04-20"
"Caius Capital LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,82","2023-04-20"
"Pictet Asset Management SA","Deutsche Pfandbriefbank AG","DE0008019001","0,52","2023-04-20"
"Qube Research & Technologies Limited","Deutsche Pfandbriefbank AG","DE0008019001","0,49","2023-04-20"
"AHL Partners LLP","Nordex SE","DE000A0D6554","0,50","2023-04-20"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,37","2023-04-20"
"Citadel Advisors LLC","HelloFresh SE","DE000A161408","1,00","2023-04-20"
"Gladstone Capital Management LLP","GRENKE AG","DE000A161N30","0,59","2023-04-20"
"Wellington Management International Limited","GRENKE AG","DE000A161N30","0,89","2023-04-20"
"Marshall Wace LLP","Brenntag SE","DE000A1DAHH0","0,89","2023-04-20"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,65","2023-04-20"
"Arrowstreet Capital, Limited Partnership","flatexDEGIRO AG","DE000FTG1111","0,50","2023-04-20"
"Sculptor Capital Management Europe Limited","TUI AG","DE000TUAG505","0,18","2023-04-20"
"Segantii Capital Management (UK) Limited","TUI AG","DE000TUAG505","0,25","2023-04-20"
"SIH Partners, LLLP","TUI AG","DE000TUAG505","0,00","2023-04-20"
"Citadel Asia Limited","AGC Inc.","JP3112000009","1,02","2023-04-20"
"Citadel Asia Limited","DISCO Corporation","JP3548600000","1,02","2023-04-20"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,32","2023-04-20"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,94","2023-04-19"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,50","2023-04-19"
"Caius Capital LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,77","2023-04-19"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,79","2023-04-19"
"Millennium International Management LP","Scout24 SE","DE000A12DM80","0,90","2023-04-19"
"Marshall Wace LLP","Brenntag SE","DE000A1DAHH0","0,90","2023-04-19"
"Millennium Capital Partners LLP","Brenntag SE","DE000A1DAHH0","0,61","2023-04-19"
"Citadel Advisors LLC","Telefónica Deutschland Holding AG","DE000A1J5RX9","0,79","2023-04-19"
"WorldQuant, LLC","HUGO BOSS AG","DE000A1PHFF7","0,45","2023-04-19"
"BlackRock Investment Management (UK) Limited","KION GROUP AG","DE000KGX8881","0,58","2023-04-19"
"Qube Research & Technologies Limited","KION GROUP AG","DE000KGX8881","0,61","2023-04-19"
"Marshall Wace LLP","LEG Immobilien SE","DE000LEG1110","0,50","2023-04-19"
"Qube Research & Technologies Limited","LEG Immobilien SE","DE000LEG1110","0,62","2023-04-19"
"SIH Partners, LLLP","TUI AG","DE000TUAG505","0,79","2023-04-19"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,51","2023-04-19"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,87","2023-04-19"
"GLG Partners LP","VIDENDUM PLC","GB0009296665","0,80","2023-04-19"
"Citadel Asia Limited","AGC Inc.","JP3112000009","0,99","2023-04-19"
"Citadel Asia Limited","DISCO Corporation","JP3548600000","0,99","2023-04-19"
"Marshall Wace LLP","Aroundtown SA","LU1673108939","0,92","2023-04-19"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,33","2023-04-19"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,57","2023-04-18"
"Farringdon Netherlands","BayWa r.e. AG","DE0005194062","0,49","2023-04-18"
"Millennium Capital Partners LLP","HeidelbergCement AG","DE0006047004","0,60","2023-04-18"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,60","2023-04-18"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,49","2023-04-18"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","1,06","2023-04-18"
"Citadel Advisors LLC","SFC Energy AG","DE0007568578","0,69","2023-04-18"
"Caius Capital LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,68","2023-04-18"
"Millennium International Management LP","Deutsche Pfandbriefbank AG","DE0008019001","0,50","2023-04-18"
"Pictet Asset Management SA","Deutsche Pfandbriefbank AG","DE0008019001","0,48","2023-04-18"
"Qube Research & Technologies Limited","Deutsche Pfandbriefbank AG","DE0008019001","0,51","2023-04-18"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","0,95","2023-04-18"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,69","2023-04-18"
"WorldQuant, LLC","VERBIO Vereinigte BioEnergie AG","DE000A0JL9W6","0,49","2023-04-18"
"Citadel Advisors LLC","HelloFresh SE","DE000A161408","1,15","2023-04-18"
"Qube Research & Technologies Limited","HelloFresh SE","DE000A161408","0,81","2023-04-18"
"Citadel Advisors Europe Limited","Brenntag SE","DE000A1DAHH0","0,71","2023-04-18"
"Sculptor Capital Management Europe Limited","Delivery Hero SE","DE000A2E4K43","0,50","2023-04-18"
"Marble Bar Asset Management LLP","Nagarro SE","DE000A3H2200","0,52","2023-04-18"
"Qube Research & Technologies Limited","LEG Immobilien SE","DE000LEG1110","0,52","2023-04-18"
"BlackRock Investment Management (UK) Limited","TUI AG","DE000TUAG505","0,31","2023-04-18"
"Jane Street Group LLC","TUI AG","DE000TUAG505","1,01","2023-04-18"
"SIH Partners, LLLP","TUI AG","DE000TUAG505","0,64","2023-04-18"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,49","2023-04-18"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,50","2023-04-18"
"Tellworth Investments","Jupiter Fund Management","GB00B53P2009","0,67","2023-04-18"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,22","2023-04-18"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,21","2023-04-18"
"Citadel Advisors LLC","Vail Resorts, Inc.","US91879Q1094","1,43","2023-04-18"
"Marshall Wace LLP","Covestro AG","DE0006062144","1,81","2023-04-17"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,81","2023-04-17"
"Citadel Advisors LLC","Aurubis AG","DE0006766504","0,44","2023-04-17"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,91","2023-04-17"
"Caius Capital LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,51","2023-04-17"
"Millennium International Management LP","Deutsche Pfandbriefbank AG","DE0008019001","0,49","2023-04-17"
"AHL Partners LLP","Nordex SE","DE000A0D6554","0,49","2023-04-17"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,22","2023-04-17"
"Qube Research & Technologies Limited","HelloFresh SE","DE000A161408","0,79","2023-04-17"
"Wellington Management International Limited","GRENKE AG","DE000A161N30","0,95","2023-04-17"
"Acadian Asset Management LLC","Friedrich Vorwerk Group SE","DE000A255F11","0,49","2023-04-17"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,44","2023-04-17"
"VARENNE CAPITAL PARTNERS","LEG Immobilien SE","DE000LEG1110","0,52","2023-04-17"
"BlackRock Investment Management (UK) Limited","TUI AG","DE000TUAG505","0,57","2023-04-17"
"ExodusPoint Capital Management, LP","TUI AG","DE000TUAG505","0,73","2023-04-17"
"Tellworth Investments","Jupiter Fund Management","GB00B53P2009","0,77","2023-04-17"
"Kuvari Partners LLP","NETWORK INTERNATIONAL HOLDINGS PLC","GB00BH3VJ782","0,34","2023-04-17"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","0,99","2023-04-17"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,17","2023-04-17"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,56","2023-04-14"
"Systematica Investments Limited","MorphoSys AG","DE0006632003","0,58","2023-04-14"
"Park West Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,17","2023-04-14"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,80","2023-04-14"
"Pictet Asset Management SA","Deutsche Pfandbriefbank AG","DE0008019001","0,53","2023-04-14"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","0,81","2023-04-14"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,18","2023-04-14"
"Qube Research & Technologies Limited","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,88","2023-04-14"
"Canada Pension Plan Investment Board","freenet AG","DE000A0Z2ZZ5","0,48","2023-04-14"
"Qube Research & Technologies Limited","HelloFresh SE","DE000A161408","0,81","2023-04-14"
"AQR Capital Management, LLC","adidas AG","DE000A1EWWW0","0,50","2023-04-14"
"WorldQuant, LLC","HUGO BOSS AG","DE000A1PHFF7","0,56","2023-04-14"
"JPMorgan Asset Management (UK) Ltd","Software Aktiengesellschaft","DE000A2GS401","0,83","2023-04-14"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,68","2023-04-14"
"Qube Research & Technologies Limited","flatexDEGIRO AG","DE000FTG1111","1,06","2023-04-14"
"Jane Street Group LLC","TUI AG","DE000TUAG505","0,95","2023-04-14"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,51","2023-04-14"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,40","2023-04-14"
"GLG Partners LP","DECHRA PHARMACEUTICALS PLC","GB0009633180","0,38","2023-04-14"
"Kuvari Partners LLP","NETWORK INTERNATIONAL HOLDINGS PLC","GB00BH3VJ782","0,53","2023-04-14"
"Citadel Asia Limited","AGC Inc.","JP3112000009","1,06","2023-04-14"
"Citadel Asia Limited","Keio Corporation","JP3277800003","0,98","2023-04-14"
"Citadel Asia Limited","T&D Holdings Inc.","JP3539220008","1,09","2023-04-14"
"Citadel Asia Limited","DISCO Corporation","JP3548600000","1,07","2023-04-14"
"Marshall Wace LLP","Aroundtown SA","LU1673108939","0,89","2023-04-14"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","2,05","2023-04-14"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,12","2023-04-14"
"Citadel Securities GP LLC","Standard Lithium Ltd.","CA8536061010","0,58","2023-04-13"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,76","2023-04-13"
"Park West Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,27","2023-04-13"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,77","2023-04-13"
"Millennium International Management LP","Deutsche Pfandbriefbank AG","DE0008019001","0,50","2023-04-13"
"POINT72 EUROPE (LONDON) LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,50","2023-04-13"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","0,71","2023-04-13"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,76","2023-04-13"
"WorldQuant, LLC","VERBIO Vereinigte BioEnergie AG","DE000A0JL9W6","0,50","2023-04-13"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,70","2023-04-13"
"Canada Pension Plan Investment Board","Scout24 SE","DE000A12DM80","0,59","2023-04-13"
"Citadel Advisors Europe Limited","HelloFresh SE","DE000A161408","0,45","2023-04-13"
"Qube Research & Technologies Limited","HelloFresh SE","DE000A161408","0,79","2023-04-13"
"Gladstone Capital Management LLP","GRENKE AG","DE000A161N30","0,87","2023-04-13"
"Acadian Asset Management LLC","Friedrich Vorwerk Group SE","DE000A255F11","0,50","2023-04-13"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","2,25","2023-04-13"
"Millennium International Management LP","Evonik Industries AG","DE000EVNK013","0,48","2023-04-13"
"Marshall Wace LLP","flatexDEGIRO AG","DE000FTG1111","0,49","2023-04-13"
"Qube Research & Technologies Limited","flatexDEGIRO AG","DE000FTG1111","0,97","2023-04-13"
"BlackRock Investment Management (UK) Limited","KION GROUP AG","DE000KGX8881","0,68","2023-04-13"
"AQR Capital Management, LLC","Symrise AG","DE000SYM9999","0,50","2023-04-13"
"Jane Street Group LLC","TUI AG","DE000TUAG505","0,84","2023-04-13"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,49","2023-04-13"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","0,48","2023-04-13"
"Tellworth Investments","Tellworth Investments LLP","GB00B53P2009","0,89","2023-04-13"
"GLG Partners LP","NETWORK INTERNATIONAL HOLDINGS PLC","GB00BH3VJ782","0,48","2023-04-13"
"Kuvari Partners LLP","NETWORK INTERNATIONAL HOLDINGS PLC","GB00BH3VJ782","0,63","2023-04-13"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","1,05","2023-04-13"
"Qube Research & Technologies Limited","Shop Apotheke Europe N.V.","NL0012044747","1,00","2023-04-13"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","1,98","2023-04-13"
"Citadel Advisors LLC","Voya Financial, Inc.","US9290891004","0,58","2023-04-13"
"Marshall Wace LLP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,68","2023-04-12"
"Park West Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,44","2023-04-12"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,64","2023-04-12"
"Pictet Asset Management SA","Deutsche Pfandbriefbank AG","DE0008019001","0,62","2023-04-12"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,67","2023-04-12"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,90","2023-04-12"
"Canada Pension Plan Investment Board","Scout24 SE","DE000A12DM80","0,60","2023-04-12"
"AHL Partners LLP","HelloFresh SE","DE000A161408","0,67","2023-04-12"
"Citadel Advisors Europe Limited","HelloFresh SE","DE000A161408","0,64","2023-04-12"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,60","2023-04-12"
"Qube Research & Technologies Limited","HelloFresh SE","DE000A161408","0,80","2023-04-12"
"WorldQuant, LLC","HUGO BOSS AG","DE000A1PHFF7","0,66","2023-04-12"
"Kairos Investment Management Limited","Nagarro SE","DE000A3H2200","0,59","2023-04-12"
"Millennium International Management LP","Evonik Industries AG","DE000EVNK013","0,50","2023-04-12"
"BlackRock Investment Management (UK) Limited","KION GROUP AG","DE000KGX8881","0,70","2023-04-12"
"Sculptor Capital Management Europe Limited","TUI AG","DE000TUAG505","0,52","2023-04-12"
"Whitebox Advisors LLC","TUI AG","DE000TUAG505","0,51","2023-04-12"
"Citadel Advisors LLC","Allegion plc","IE00BFRT3W74","1,40","2023-04-12"
"Citadel Asia Limited","Keio Corporation","JP3277800003","1,06","2023-04-12"
"Citadel Asia Limited","T&D Holdings Inc.","JP3539220008","1,18","2023-04-12"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","1,72","2023-04-12"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,08","2023-04-12"
"Citadel Advisors LLC","Voya Financial, Inc.","US9290891004","0,60","2023-04-12"
"Weiss Asset Management LP","Voya Financial, Inc.","US9290891004","0,45","2023-04-12"
"Systematica Investments Limited","MorphoSys AG","DE0006632003","0,67","2023-04-11"
"Citadel Advisors LLC","TAG Immobilien AG","DE0008303504","0,78","2023-04-11"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","0,64","2023-04-11"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,74","2023-04-11"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,52","2023-04-11"
"Gladstone Capital Management LLP","GRENKE AG","DE000A161N30","0,98","2023-04-11"
"Marshall Wace LLP","Vonovia SE","DE000A1ML7J1","0,47","2023-04-11"
"WorldQuant, LLC","HUGO BOSS AG","DE000A1PHFF7","0,75","2023-04-11"
"Marshall Wace LLP","flatexDEGIRO AG","DE000FTG1111","0,58","2023-04-11"
"Sandbar Asset Management","Schaeffler AG","DE000SHA0159","0,32","2023-04-11"
"LMR Partners LLP","TUI AG","DE000TUAG505","0,72","2023-04-11"
"SIH Partners, LLLP","TUI AG","DE000TUAG505","0,50","2023-04-11"
"Weiss Asset Management LP","Voya Financial, Inc.","US9290891004","0,58","2023-04-11"
"Citadel Advisors LLC","Evergy, Inc.","US30034W1062","0,50","2023-04-10"
"Citadel Advisors LLC","Teleflex Incorporated","US8793691069","2,15","2023-04-10"
"Walleye Capital LLC","Voya Financial Inc","US9290891004","0,48","2023-04-10"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","1,10","2023-04-07"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,62","2023-04-06"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,58","2023-04-06"
"Qube Research & Technologies Limited","MorphoSys AG","DE0006632003","1,08","2023-04-06"
"Highbridge Capital Management, LLC","Nordex SE","DE000A0D6554","0,70","2023-04-06"
